<unk>	sil
student	s t u d e n t
studenta	s t u d e n t a
studentach	s t u d e n t a x
studentami	s t u d e n t a m i
studentem	s t u d e n t e m
studentka	s t u d e n t k a
studentki	s t u d e n t k i
studentką	s t u d e n t k o m
studentką	s t u d e n t k on
studentom	s t u d e n t o m
studentwazeliniarz	s t u d e n t f a z e l i ni a S
studentwazeliniarz	s t u d e n t f a z e l i ni a Z
studentwazeliniarz	s t u d e n t f a z e l i ni j a S
studentów	s t u d e n t u f
studentów	s t u d e n t u v
studia	s t u d j a
studiach	s t u d j a x
studiom	s t u d j o m
studiowanie	s t u d j o v a ni e
studiowanie	s t u d j o v a ni j e
studiowaniu	s t u d j o v a ni u
studiować	s t u d j o v a tsi
studiował	s t u d j o v a w
studiowałem	s t u d j o v a w e m
studiuje	s t u d j u j e
studiują	s t u d j u j o m
studiują	s t u d j u j on
studiując	s t u d j u j o n ts
studiując	s t u d j u j on ts
studiujący	s t u d j u j o n ts I
studiujący	s t u d j u j on ts I
studium	s t u d j u m
studiów	s t u d j u f
studiów	s t u d j u v
studni	s t u d ni i
studnia	s t u d ni a
studnie	s t u d ni e
studniówki	s t u d ni u f k i
studniówki	s t u d ni u v k i
studnię	s t u d ni e
studnię	s t u d ni en
studnię	s t u d ni j e
studolarówek	s t u d o l a r u v e k
studyjne	s t u d I j n e
studzenie	s t u dz e ni e
studzenie	s t u dz e ni j e
stuk	s t u k
stuknięta	s t u k ni e n t a
stuknięta	s t u k ni en t a
stuknięta	s t u k ni j e n t a
stuknięta	s t u k ni j en t a
stuknęli	s t u k n e l i
stuknęli	s t u k n en l i
stukot	s t u k o t
stukrotność	s t u k r o t n o si tsi
stuków	s t u k u f
stuków	s t u k u v
stuleci	s t u l e tsi i
stulecia	s t u l e tsi a
stuleciach	s t u l e tsi a x
stuleciu	s t u l e tsi u
stulitrowego	s t u l i t r o v e g o
stupa	s t u p a
sturlać	s t u r l a tsi
stutysięczną	s t u t I si e n tS n o m
stutysięczną	s t u t I si e n tS n on
stutysięczną	s t u t I si en tS n o m
stutysięczną	s t u t I si en tS n on
stwardniałam	s t f a r d ni a w a m
stwardninie	s t f a r d ni i ni e
stwardninie	s t f a r d ni i ni j e
stwarza	s t f a Z a
stwarzają	s t f a Z a j o m
stwarzają	s t f a Z a j on
stwarzając	s t f a Z a j o n ts
stwarzając	s t f a Z a j on ts
stwarzamy	s t f a Z a m I
stwarzania	s t f a Z a ni a
stwarzania	s t f a Z a ni j a
stwarzać	s t f a Z a tsi
stwarzał	s t f a Z a w
stwarzały	s t f a Z a w I
stwierdza	s t f j e r dz a
stwierdzają	s t f j e r dz a j o m
stwierdzają	s t f j e r dz a j on
stwierdzam	s t f j e r dz a m
stwierdzamy	s t f j e r dz a m I
stwierdzanie	s t f j e r dz a ni e
stwierdzanie	s t f j e r dz a ni j e
stwierdzał	s t f j e r dz a w
stwierdzenia	s t f j e r dz e ni a
stwierdzenia	s t f j e r dz e ni j a
stwierdzeniach	s t f j e r dz e ni a x
stwierdzeniach	s t f j e r dz e ni j a x
stwierdzenie	s t f j e r dz e ni e
stwierdzenie	s t f j e r dz e ni j e
stwierdzeniem	s t f j e r dz e ni e m
stwierdzeniem	s t f j e r dz e ni j e m
stwierdzeniu	s t f j e r dz e ni u
stwierdzi	s t f j e r dzi i
stwierdzili	s t f j e r dzi i l i
stwierdziwszy	s t f j e r dzi i f S I
stwierdziwszy	s t f j e r dzi i v S I
stwierdzić	s t f j e r dzi i tsi
stwierdził	s t f j e r dzi i w
stwierdziła	s t f j e r dzi i w a
stwierdziłem	s t f j e r dzi i w e m
stwierdziłlo	s t f j e r dzi i w l o
stwierdziło	s t f j e r dzi i w o
stwierdziły	s t f j e r dzi i w I
stwierdzono	s t f j e r dz o n o
stworków	s t f o r k u f
stworków	s t f o r k u v
stworzenia	s t f o Z e ni a
stworzenia	s t f o Z e ni j a
stworzenie	s t f o Z e ni e
stworzenie	s t f o Z e ni j e
stworzeniu	s t f o Z e ni u
stworzeń	s t f o Z e ni
stworzona	s t f o Z o n a
stworzone	s t f o Z o n e
stworzonej	s t f o Z o n e j
stworzony	s t f o Z o n I
stworzonych	s t f o Z o n I x
stworzonym	s t f o Z o n I m
stworzy	s t f o Z I
stworzyli	s t f o Z I l i
stworzymy	s t f o Z I m I
stworzyć	s t f o Z I tsi
stworzył	s t f o Z I w
stworzyła	s t f o Z I w a
stworzyłem	s t f o Z I w e m
stworzyły	s t f o Z I w I
stwórca	s t f u r ts a
stwórcy	s t f u r ts I
stwórczym	s t f u r tS I m
stwórzcie	s t f u S tsi e
stwórzcie	s t f u Z tsi e
stycznego	s t I tS n e g o
stycznia	s t I tS ni a
styczniowego	s t I tS ni o v e g o
styczniowy	s t I tS ni o v I
styczniowym	s t I tS ni o v I m
styczniu	s t I tS ni u
styczność	s t I tS n o si tsi
stygmatyzacja	s t I g m a t I z a ts j a
stykając	s t I k a j o n ts
stykając	s t I k a j on ts
stykali	s t I k a l i
stykać	s t I k a tsi
styl	s t I l
stylach	s t I l a x
style	s t I l e
stylem	s t I l e m
styliskami	s t I l i s k a m i
stylistycznej	s t I l i s t I tS n e j
stylistycznym	s t I l i s t I tS n I m
stylistycznymi	s t I l i s t I tS n I m i
stylistyki	s t I l i s t I k i
stylizacja	s t I l i z a ts j a
stylizacji	s t I l i z a ts i
stylizacji	s t I l i z a ts j i
stylizację	s t I l i z a ts j e
stylizację	s t I l i z a ts j en
stylizowaną	s t I l i z o v a n o m
stylizowaną	s t I l i z o v a n on
stylowi	s t I l o v i
stylu	s t I l u
stymulacji	s t I m u l a ts i
stymulacji	s t I m u l a ts j i
stymulacyjnego	s t I m u l a ts I j n e g o
stymulanty	s t I m u l a n t I
stymulowana	s t I m u l o v a n a
stymulowany	s t I m u l o v a n I
stypendia	s t I p e n d j a
stypendium	s t I p e n d j u m
styperek	s t I p e r e k
styropianowy	s t I r o p j a n o v I
styropianowym	s t I r o p j a n o v I m
styropianowymi	s t I r o p j a n o v I m i
stój	s t u j
stóp	s t u p
stół	s t u w
stąd	s t o n d
stąd	s t o n t
stąd	s t on t
stągiew	s t o n g j e f
stągiew	s t o n g j e v
stągiew	s t on g j e f
stągiew	s t on g j e v
stągiewkę	s t o n g j e f k e
stągiewkę	s t o n g j e f k en
stągiewkę	s t o n g j e v k e
stągiewkę	s t on g j e f k e
stągiewkę	s t on g j e f k en
stągiewkę	s t on g j e v k e
stągiewkę	s t on g j e v k en
stąpa	s t o m p a
stąpa	s t on p a
stąpać	s t o m p a tsi
stąpać	s t on p a tsi
stęchlizną	s t e n x l i z n o m
stęchlizną	s t e n x l i z n on
stęchlizną	s t en x l i z n o m
stęchlizną	s t en x l i z n on
stęchłymi	s t e n x w I m i
stęchłymi	s t en x w I m i
stępia	s t e m p j a
stępia	s t en p j a
stępiają	s t e m p j a j o m
stępiają	s t en p j a j o m
stępiają	s t en p j a j on
stęsknionych	s t e n s k ni o n I x
stęsknionych	s t en s k ni o n I x
stęsknił	s t e n s k ni i w
stęsknił	s t en s k ni i w
stęż	s t e n S
stęż	s t e n Z
stęż	s t en Z
stężał	s t e n Z a w
stężał	s t en Z a w
stężała	s t e n Z a w a
stężała	s t en Z a w a
stężenia	s t e n Z e ni a
stężenia	s t e n Z e ni j a
stężenia	s t en Z e ni a
stężenia	s t en Z e ni j a
stężenie	s t e n Z e ni e
stężenie	s t e n Z e ni j e
stężenie	s t en Z e ni e
stężenie	s t en Z e ni j e
stężeniu	s t e n Z e ni u
stężeniu	s t en Z e ni u
stężoną	s t e n Z o n o m
stężoną	s t e n Z o n on
stężoną	s t en Z o n o m
stężoną	s t en Z o n on
stłoczeni	s t w o tS e ni i
stłoczona	s t w o tS o n a
stłoczone	s t w o tS o n e
stłumienie	s t w u m j e ni e
stłumienie	s t w u m j e ni j e
stłumieniu	s t w u m j e ni u
stłumione	s t w u m j o n e
stłumiony	s t w u m j o n I
stłumić	s t w u m i tsi
subarktyczna	s u b a r k t I tS n a
subarktyczny	s u b a r k t I tS n I
subarktycznych	s u b a r k t I tS n I x
subaru	s u b a r u
subiektywna	s u b j e k t I v n a
subiektywne	s u b j e k t I v n e
subiektywnego	s u b j e k t I v n e g o
subiektywnie	s u b j e k t I v ni e
subiektywny	s u b j e k t I v n I
subiektywnym	s u b j e k t I v n I m
subskrypcji	s u b s k r I p ts i
subskrypcji	s u b s k r I p ts j i
subskrypcji	s u p s k r I p ts i
subskrypcji	s u p s k r I p ts j i
substancji	s u b s t a n ts i
substancji	s u b s t a n ts j i
substancji	s u p s t a n ts j i
substancją	s u b s t a n ts j o m
substancją	s u b s t a n ts j on
substancją	s u p s t a n ts j o m
substancją	s u p s t a n ts j on
substancję	s u b s t a n ts j e
substancję	s u b s t a n ts j en
substancję	s u p s t a n ts j e
substancję	s u p s t a n ts j en
substytut	s u b s t I t u t
substytut	s u p s t I t u t
subsydiowanego	s u b s I d j o v a n e g o
subsydiowanego	s u p s I d j o v a n e g o
subsydiowanemu	s u b s I d j o v a n e m u
subsydiowanemu	s u p s I d j o v a n e m u
subtelna	s u b t e l n a
subtelna	s u p t e l n a
subtelne	s u b t e l n e
subtelne	s u p t e l n e
subtelności	s u b t e l n o si tsi i
subtelności	s u p t e l n o si tsi i
subtelny	s u b t e l n I
subtelny	s u p t e l n I
subwencje	s u b v e n ts j e
sucha	s u x a
sucharskiej	s u x a r s k j e j
suche	s u x e
suchego	s u x e g o
suchej	s u x e j
suchowola	s u x o v o l a
suchość	s u x o si tsi
suchsze	s u x S e
suchy	s u x I
suchych	s u x I x
suchym	s u x I m
suchymi	s u x I m i
suchą	s u x o m
suchą	s u x on
suczawą	s u tS a v o m
suczawą	s u tS a v on
sudan	s u d a n
sudanem	s u d a n e m
sudanie	s u d a ni e
sudanie	s u d a ni j e
sudanu	s u d a n u
sudańczycy	s u d a ni tS I ts I
sudańskie	s u d a ni s k j e
sudoku	s u d o k u
suficie	s u f i tsi e
sufit	s u f i t
sufitem	s u f i t e m
sufitowi	s u f i t o v i
sufitu	s u f i t u
sufragan	s u f r a g a n
sugerowane	s u g e r o v a n e
sugerowanie	s u g e r o v a ni e
sugerowanie	s u g e r o v a ni j e
sugerowaną	s u g e r o v a n o m
sugerowaną	s u g e r o v a n on
sugerować	s u g e r o v a tsi
sugerował	s u g e r o v a w
sugerowałem	s u g e r o v a w e m
sugerowałoby	s u g e r o v a w o b I
sugeruje	s u g e r u j e
sugerują	s u g e r u j o m
sugerują	s u g e r u j on
sugerujących	s u g e r u j o n ts I x
sugerujących	s u g e r u j on ts I x
sugeruję	s u g e r u j e
sugeruję	s u g e r u j en
sugestia	s u g e s t j a
sugestie	s u g e s t j e
sugestii	s u g e s t i
sugestii	s u g e s t j i
sugestią	s u g e s t j o m
sugestią	s u g e s t j on
sugestywna	s u g e s t I v n a
sugestywnym	s u g e s t I v n I m
suhaka	s u x a k a
sukces	s u k ts e s
sukcesem	s u k ts e s e m
sukcesie	s u k ts e si e
sukcesję	s u k ts e s j e
sukcesję	s u k ts e s j en
sukcesu	s u k ts e s u
sukcesy	s u k ts e s I
sukcesywnego	s u k ts e s I v n e g o
sukcesywnie	s u k ts e s I v ni e
sukcesów	s u k ts e s u f
sukcesów	s u k ts e s u v
sukien	s u k j e n
sukienek	s u k j e n e k
sukienka	s u k j e n k a
sukienkach	s u k j e n k a x
sukienkami	s u k j e n k a m i
sukienki	s u k j e n k i
sukienkę	s u k j e n k e
sukienkę	s u k j e n k en
sukniami	s u k ni a m i
suknie	s u k ni e
suknię	s u k ni e
suknię	s u k ni en
suknię	s u k ni j en
sukurs	s u k u r s
sulejman	s u l e j m a n
sulinowa	s u l i n o v a
suma	s u m a
sumie	s u m j e
sumienia	s u m j e ni a
sumienia	s u m j e ni j a
sumienie	s u m j e ni e
sumienie	s u m j e ni j e
sumieniem	s u m j e ni e m
sumieniem	s u m j e ni j e m
sumieniu	s u m j e ni u
sumiennie	s u m j e n ni e
sumiennie	s u m j e ni ni e
sumiennością	s u m j e n n o si tsi o m
sumiennością	s u m j e n n o si tsi on
sumienny	s u m j e n n I
sumiennym	s u m j e n n I m
summa	s u m a
summa	s u m m a
summarum	s u m a r u m
summarum	s u m m a r u m
sumowania	s u m o v a ni a
sumowania	s u m o v a ni j a
sumuje	s u m u j e
sumując	s u m u j o n ts
sumując	s u m u j on ts
sumy	s u m I
sumę	s u m e
sumę	s u m en
sunie	s u ni e
sunie	s u ni j e
suną	s u n o m
suną	s u n on
sunące	s u n o n ts e
sunące	s u n on ts e
sunącego	s u n o n ts e g o
sunącego	s u n on ts e g o
sunącymi	s u n o n ts I m i
sunącymi	s u n on ts I m i
sunął	s u n o w
sunął	s u n on w
sunęła	s u n e w a
sunęła	s u n en w a
super	s u p e r
superbank	s u p e r b a n k
superczuły	s u p e r tS u w I
superherosów	s u p e r x e r o s u f
superherosów	s u p e r x e r o s u v
superlatywach	s u p e r l a t I v a x
supermarketu	s u p e r m a r k e t u
supermarkety	s u p e r m a r k e t I
supermarketów	s u p e r m a r k e t u f
supermarketów	s u p e r m a r k e t u v
supermiękkich	s u p e r m j e n k k i x
supermiękkich	s u p e r m j en k k i x
supermocarstwami	s u p e r m o ts a r s t f a m i
supermocarstwem	s u p e r m o ts a r s t f e m
supernowej	s u p e r n o v e j
supernowoczesna	s u p e r n o v o tS e s n a
superwizjerze	s u p e r v i z j e Z e
supeł	s u p e w
suplementy	s u p l e m e n t I
suprolidze	s u p r o l i dz e
surabai	s u r a b a i
surabai	s u r a b a j i
surfowanie	s u r f o v a ni e
surfowanie	s u r f o v a ni j e
surinamu	s u r i n a m u
surogat	s u r o g a t
surowca	s u r o f ts a
surowca	s u r o v ts a
surowcami	s u r o f ts a m i
surowcami	s u r o v ts a m i
surowce	s u r o f ts e
surowce	s u r o v ts e
surowcowe	s u r o f ts o v e
surowcowe	s u r o v ts o v e
surowcowych	s u r o f ts o v I x
surowcowych	s u r o v ts o v I x
surowcowym	s u r o f ts o v I m
surowcowym	s u r o v ts o v I m
surowców	s u r o f ts u f
surowców	s u r o f ts u v
surowców	s u r o v ts u f
surowców	s u r o v ts u v
surowe	s u r o v e
surowiec	s u r o v j e ts
surowo	s u r o v o
surowy	s u r o v I
surowym	s u r o v I m
surową	s u r o v o m
surową	s u r o v on
surrealistycznie	s u r e a l i s t I tS ni e
surrealistycznie	s u r r e a l i s t I tS ni e
susami	s u s a m i
susem	s u s e m
susza	s u S a
suszarki	s u S a r k i
suszone	s u S o n e
suszonej	s u S o n e j
suszonych	s u S o n I x
suszy	s u S I
suszą	s u S o m
suszą	s u S on
suszę	s u S e
suszę	s u S en
suterenie	s u t e r e ni e
suterenie	s u t e r e ni j e
suto	s u t o
suv	s u f
suv	s u v
suwalskie	s u v a l s k j e
suwalszczyzny	s u v a l S tS I z n I
suwalszczyźnie	s u v a l S tS I zi ni e
suweren	s u v e r e n
suwerena	s u v e r e n a
suwerenności	s u v e r e n n o si tsi i
suwerennym	s u v e r e n n I m
suworowem	s u v o r o v e m
sułtana	s u w t a n a
sven	s f e n
swarzędza	s f a Z e n dz a
swarzędza	s f a Z en dz a
swatać	s f a t a tsi
swe	s f e
swego	s f e g o
swej	s f e j
swemu	s f e m u
sweter	s f e t e r
swetry	s f e t r I
swinarskiego	s f i n a r s k j e g o
swoboda	s f o b o d a
swobodne	s f o b o d n e
swobodnego	s f o b o d n e g o
swobodnie	s f o b o d ni e
swobodny	s f o b o d n I
swobodnym	s f o b o d n I m
swobody	s f o b o d I
swobodzie	s f o b o dzi e
swobodę	s f o b o d e
swobodę	s f o b o d en
swoi	s f o i
swoi	s f o j i
swoich	s f o i x
swoich	s f o j i x
swoim	s f o i m
swoim	s f o j i m
swoimi	s f o i m i
swoimi	s f o j i m i
swoista	s f o i s t a
swoista	s f o j i s t a
swoisty	s f o i s t I
swoisty	s f o j i s t I
swoistym	s f o i s t I m
swoistym	s f o j i s t I m
swoistą	s f o i s t o m
swoistą	s f o i s t on
swoistą	s f o j i s t o m
swoistą	s f o j i s t on
swoja	s f o j a
swojakami	s f o j a k a m i
swoje	s f o j e
swojego	s f o j e g o
swojej	s f o j e j
swojemu	s f o j e m u
swoją	s f o j o m
swoją	s f o j on
swych	s f I x
swym	s f I m
swymi	s f I m i
swój	s f u j
swą	s f o m
swą	s f on
swąd	s f o n d
swąd	s f o n t
swąd	s f on d
swąd	s f on t
swędzenie	s f e n dz e ni e
swędzenie	s f e n dz e ni j e
swędzenie	s f en dz e ni e
swędzenie	s f en dz e ni j e
swędziała	s f e ni dzi a w a
swędziała	s f en dzi a w a
swędzące	s f e n dz o n ts e
swędzące	s f e n dz on ts e
swędzące	s f en dz o n ts e
swędzące	s f en dz on ts e
swędzący	s f e n dz o n ts I
swędzący	s f e n dz on ts I
swędzący	s f en dz o n ts I
swędzący	s f en dz on ts I
syberii	s I b e r i
syberii	s I b e r j i
syberię	s I b e r j e
syberię	s I b e r j en
syberyjski	s I b e r I j s k i
syberyjskiego	s I b e r I j s k j e g o
sybir	s I b i r
sycylii	s I ts I l i
sycylii	s I ts I l j i
sycylijski	s I ts I l i j s k i
syczynie	s I tS I ni e
syczynie	s I tS I ni j e
sygnalizatory	s I g n a l i z a t o r I
sygnalizatorów	s I g n a l i z a t o r u f
sygnalizatorów	s I g n a l i z a t o r u v
sygnalizować	s I g n a l i z o v a tsi
sygnalizował	s I g n a l i z o v a w
sygnalizowała	s I g n a l i z o v a w a
sygnalizowały	s I g n a l i z o v a w I
sygnalizujące	s I g n a l i z u j o n ts e
sygnalizujące	s I g n a l i z u j on ts e
sygnatariusze	s I g n a t a r j u S e
sygnał	s I g n a w
sygnałach	s I g n a w a x
sygnałem	s I g n a w e m
sygnału	s I g n a w u
sygnały	s I g n a w I
sygnałów	s I g n a w u f
sygnałów	s I g n a w u v
sygnowałby	s I g n o v a w b I
sygnują	s I g n u j o m
sygnują	s I g n u j on
syguś	s I g u si
syjamu	s I j a m u
syjoniści	s I j o ni i si tsi i
syknął	s I k n o w
syknął	s I k n on w
sylab	s I l a b
sylab	s I l a p
sylfidy	s I l f i d I
sylwetka	s I l v e t k a
sylwetkami	s I l v e t k a m i
sylwetki	s I l v e t k i
sylwetką	s I l v e t k o m
sylwetką	s I l v e t k on
sylwetkę	s I l v e t k e
sylwetkę	s I l v e t k en
sylwią	s I l v j o m
sylwią	s I l v j on
symbian	s I m b j a n
symbol	s I m b o l
symbolami	s I m b o l a m i
symbole	s I m b o l e
symbolem	s I m b o l e m
symboli	s I m b o l i
symboliczna	s I m b o l i tS n a
symboliczne	s I m b o l i tS n e
symbolicznego	s I m b o l i tS n e g o
symbolicznie	s I m b o l i tS ni e
symbolicznym	s I m b o l i tS n I m
symbolikę	s I m b o l i k e
symbolikę	s I m b o l i k en
symbolizm	s I m b o l i z m
symbolizowała	s I m b o l i z o v a w a
symbolizującym	s I m b o l i z u j o n ts I m
symbolizującym	s I m b o l i z u j on ts I m
symbolu	s I m b o l u
symetria	s I m e t r j a
symetriami	s I m e t r j a m i
symetrie	s I m e t r j e
symetrii	s I m e t r i
symetrii	s I m e t r j i
symfonii	s I m f o ni i
symfonii	s I m f o ni j i
sympatia	s I m p a t j a
sympatie	s I m p a t j e
sympatii	s I m p a t i
sympatii	s I m p a t j i
sympatią	s I m p a t j o m
sympatią	s I m p a t j on
sympatię	s I m p a t j e
sympatię	s I m p a t j en
sympatycy	s I m p a t I ts I
sympatyczna	s I m p a t I tS n a
sympatyczni	s I m p a t I tS ni i
sympatycznie	s I m p a t I tS ni e
sympatyczny	s I m p a t I tS n I
symptom	s I m p t o m
symptomatyczne	s I m p t o m a t I tS n e
symptomy	s I m p t o m I
symulacja	s I m u l a ts j a
symulacje	s I m u l a ts j e
symulacyjnych	s I m u l a ts I j n I x
symulowanie	s I m u l o v a ni e
symulowanie	s I m u l o v a ni j e
symuluje	s I m u l u j e
symulujemy	s I m u l u j e m I
syn	s I n
syna	s I n a
synagogi	s I n a g o g i
synapsy	s I n a p s I
synapsę	s I n a p s e
synapsę	s I n a p s en
synaptycznych	s I n a p t I tS n I x
synchronizację	s I n x r o ni i z a ts j e
synchronizację	s I n x r o ni i z a ts j en
synchronizował	s I n x r o ni i z o v a w
syndromem	s I n d r o m e m
syndyk	s I n d I k
synek	s I n e k
synekur	s I n e k u r
synem	s I n e m
synka	s I n k a
synkiem	s I n k j e m
synkopowany	s I n k o p o v a n I
synody	s I n o d I
synonimem	s I n o ni i m e m
synonimy	s I n o ni i m I
synowi	s I n o v i
synowie	s I n o v j e
syntetyczne	s I n t e t I tS n e
syntetycznej	s I n t e t I tS n e j
syntetyczny	s I n t e t I tS n I
synteza	s I n t e z a
syntezie	s I n t e zi e
synu	s I n u
synów	s I n u f
synów	s I n u v
sypać	s I p a tsi
sypał	s I p a w
sypialni	s I p j a l ni i
sypialnie	s I p j a l ni e
sypialnię	s I p j a l ni e
sypialnię	s I p j a l ni en
sypialnię	s I p j a l ni j e
sypialnię	s I p j a l ni j en
sypiałem	s I p j a w e m
sypie	s I p j e
sypią	s I p j o m
sypią	s I p j on
sypiącą	s I p j o n ts o m
sypiącą	s I p j o n ts on
sypiącą	s I p j on ts o m
sypiącą	s I p j on ts on
sypki	s I p k i
syrena	s I r e n a
syrenki	s I r e n k i
syreny	s I r e n I
syria	s I r j a
syrii	s I r i
syrii	s I r j i
